word,frequency
и,999999
в,761500
не,459006
на,370964
что,301383
с,293995
я,225994
он,188948
а,177609
как,171980
к,157852
его,131354
это,129196
но,128101
по,127894
из,113264
все,107619
за,100743
от,97697
у,94406
же,92859
о,91758
так,88641
вы,78882
для,78861
то,78419
бы,74197
было,72180
быть,72175
мы,70666
только,68802
она,67756
или,63457
их,62329
они,62324
еще,59365
если,58406
мне,58313
ее,56395
был,54101
меня,53720
когда,52712
чтобы,48140
уже,47645
ты,47421
до,46233
ни,41831
да,40774
ему,40060
при,38393
сказал,37717
сказать,37711
может,35799
вот,35232
были,33925
нет,33521
даже,33412
время,32775
чем,32759
во,32295
со,31380
ли,30710
нас,30230
себя,30138
под,29963
того,29467
была,29260
есть,29026
после,27659
вас,26879
этого,26868
раз,26509
где,26362
этом,26313
этот,25773
будет,25637
него,25566
теперь,25523
тем,25332
вам,25021
без,24999
очень,24972
можно,24487
там,23528
кто,23403
себе,23256
которые,22842
который,22836
через,22711
них,22422
том,22379
эти,22188
нам,21975
всех,21540
однако,21294
один,20891
более,20820
человек,20798
им,20581
ничего,20128
здесь,20008
перед,19414
между,19006
также,18902
ведь,18663
ну,18494
потому,18216
всего,17851
слова,17655
слово,17649
тут,17480
своей,17442
свой,17437
несколько,17398
надо,17246
больше,17213
этой,16963
об,16832
тогда,16766
потом,16608
ним,15867
тот,15742
свою,15023
всегда,14897
ей,14892
два,14848
сам,14696
лишь,14636
пока,14598
день,14483
тебя,14402
тоже,14402
лет,14380
год,14374
жизни,14331
жизнь,14325
над,14320
просто,14178
мой,14004
мог,13977
мочь,13971
человека,13911
такой,13731
этих,13677
людей,13579
тебе,13470
хотя,13404
дело,13394
своих,13388
сейчас,13230
своего,12718
глаза,12478
глаз,12473
ней,12375
другой,12091
уж,12080
свои,11966
тех,11966
сказала,11955
всем,11933
эта,11715
люди,11710
времени,11694
чего,11617
почти,11606
хорошо,11541
спросил,11530
спрашивать,11525
именно,11503
собой,11345
эту,11334
никогда,11285
которых,11263
должен,11230
должный,11225
нее,11220
конечно,11121
которой,11111
друг,11062
могут,10985
например,10795
почему,10653
три,10647
случае,10615
случай,10609
много,10555
свое,10522
руки,10217
рука,10212
те,10173
поэтому,10135
совсем,10113
года,10048
стал,10010
становиться,10004
одной,9988
ответил,9945
отвечать,9939
вдруг,9939
затем,9923
тому,9814
которая,9797
оно,9743
вместе,9716
других,9628
которого,9569
образом,9541
образ,9536
части,9498
часть,9492
этим,9443
совершенно,9356
своим,9242
сразу,9214
таким,9165
будто,9100
одного,9089
должны,9084
стороны,9062
сторона,9056
лучше,9024
такое,8969
является,8866
являться,8860
такие,8855
нужно,8822
знаю,8817
знать,8811
про,8800
снова,8593
наконец,8582
нельзя,8511
против,8473
нем,8392
значит,8386
немой,8386
прежде,8343
голос,8326
никто,8310
лицо,8288
граф,8288
составе,8250
состав,8245
опять,8201
весь,8190
голову,8157
среди,8157
голова,8152
куда,8146
руку,8136
могу,8097
слов,8081
